1999-12-31T00:00:00
type name size N i w a e M0 n
star Sun VL
planet Mercury S 48.3313 7.005 29.125 0.38710 0.20563 174.795 4.092317
planet Venus S 76.680 3.395 54.884 0.72333 0.00677 50.416 1.602136
planet Earth S 174.873 0 288.064 1.0 0.01671 357.529 0.985608
planet Mars S 49.558 1.850 286.502 1.52368 0.09340 19.373 0.524039
planet Jupiter L 100.464 1.303 273.867 5.20260 0.04849 20.020 0.083056
planet Saturn L 113.666 2.489 339.391 9.55491 0.05551 317.021 0.033371
planet Uranus M 74.006 0.773 98.999 19.21845 0.04630 141.050 0.011698
planet Neptune M 131.784 1.770 276.340 30.11039 0.00899 256.225 0.005965	
planet Pluto S 110.307 17.140 113.768 39.543 0.2490 14.882 0.003964
